[449] systemd-udevd D /run/udev/queue
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000736.gz
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000667.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000266.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000508.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000789.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000456.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000852.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000325.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000600.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000467.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000092.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000280.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000686.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000053.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000300.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000601.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000480.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/ziUrAJ8W
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000808.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000175.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000170.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000487.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000616.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000481.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000577.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000634.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000228.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000097.ps
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000444.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000977.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000130.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000832.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000722.csv
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000177.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000716.ppt.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000716.ppt.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000044.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000174.ppt.dkrpx75
