[449] systemd-udevd D /run/udev/queue
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000355.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000746.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000437.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000286.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000188.html
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000533.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000366.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000180.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000590.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000131.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000556.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000890.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000372.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000507.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000513.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000549.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000050.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000927.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000188.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000366.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000937.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000590.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000485.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000664.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000908.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000379.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000379.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000752.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000819.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000345.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000084.txt.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000084.txt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000090.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000265.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000843.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000272.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000272.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000033.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000585.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000638.html.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000638.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000468.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000890.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000012.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000507.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000549.jpg
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000574.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000881.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000517.gif.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000881.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000786.gz.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000786.gz.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000567.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000802.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000483.txt
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000802.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000595.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000050.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000927.txt
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000567.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000937.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000766.ps
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000485.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000422.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000155.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000155.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000664.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000908.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000752.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000362.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000819.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000345.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000129.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000090.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000265.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000843.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000033.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000872.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000961.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000585.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000468.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000943.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000012.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000469.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000483.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000913.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000595.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000766.ps
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000939.txt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000422.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000362.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000926.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000129.html
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000939.txt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000677.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000872.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000961.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000204.html.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000204.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000171.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000492.txt
